sampleid,species,collection_date,tooth_type,lab_test,lab_researcher,published,publication,age,cc,notes
KEL147,Eidolon dupreanum,1/10/16,upper right canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),2,A,age inferred from multiple teeth
subfossil-serial-18,Eidolon dupreanum,6/1/92,lower left canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),5,B,age inferred from multiple teeth
subfossil-serial-3,Eidolon dupreanum,6/1/92,lower left canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),4,B,age inferred from multiple teeth
AMB140,Pteropus rufus,6/15/19,lower left premolar,aged,MatsonsLab,no,NA,2,A,age inferred from multiple teeth
AMB141,Pteropus rufus,6/16/19,lower left premolar,aged,MatsonsLab,no,NA,3,A,age inferred from multiple teeth
AMB142,Pteropus rufus,7/17/19,lower left premolar,aged,MatsonsLab,no,NA,1,B,age inferred from multiple teeth
AMB143,Pteropus rufus,9/23/18,lower left premolar,aged,MatsonsLab,no,NA,2,B,age inferred from multiple teeth
AMB144,Eidolon dupreanum,3/15/19,lower left premolar,aged,MatsonsLab,no,NA,1,A,age inferred from multiple teeth
AMB149,Eidolon dupreanum,3/15/19,lower left premolar,aged,MatsonsLab,no,NA,1,A,age inferred from multiple teeth
AMB150,Eidolon dupreanum,7/11/19,lower left premolar,aged,MatsonsLab,no,NA,10,A,age inferred from multiple teeth
AMB151,Eidolon dupreanum,4/11/18,lower left premolar,aged,MatsonsLab,no,NA,1,B,age inferred from multiple teeth
AMB152,Eidolon dupreanum,8/25/19,lower left premolar,aged,MatsonsLab,no,NA,2,B,age inferred from multiple teeth
AMB153,Eidolon dupreanum,1/6/19,lower left premolar,aged,MatsonsLab,no,NA,7,B,age inferred from multiple teeth
AMB155,Eidolon dupreanum,1/6/19,lower left premolar,aged,MatsonsLab,no,NA,1,B,age inferred from multiple teeth
AMB156,Eidolon dupreanum,1/6/19,lower left premolar,aged,MatsonsLab,no,NA,2,B,age inferred from multiple teeth
AMB157,Eidolon dupreanum,1/6/19,lower left premolar,aged,MatsonsLab,no,NA,4,B,age inferred from multiple teeth
AMB161,Eidolon dupreanum,1/6/19,lower left premolar,aged,MatsonsLab,no,NA,4,A,age inferred from multiple teeth
AMB162,Eidolon dupreanum,1/6/19,lower left premolar,aged,MatsonsLab,no,NA,16,A,age inferred from multiple teeth
AMB164,Eidolon dupreanum,1/6/19,lower left premolar,aged,MatsonsLab,no,NA,10,A,age inferred from multiple teeth
AND42,Eidolon dupreanum,2/6/19,lower left premolar,aged,MatsonsLab,no,NA,6,B,age inferred from multiple teeth
AND43,Eidolon dupreanum,2/6/19,lower left premolar,aged,MatsonsLab,no,NA,3,B,age inferred from multiple teeth
ANGB135,Eidolon dupreanum,4/10/18,lower left premolar,aged,MatsonsLab,no,NA,6,A,age inferred from multiple teeth
ANGB142,Eidolon dupreanum,4/10/18,lower left canine,aged,MatsonsLab,no,NA,5,A,age inferred from multiple teeth
ANGB143,Eidolon dupreanum,7/27/18,lower left premolar,aged,MatsonsLab,no,NA,2,B,age inferred from multiple teeth
ANGB147,Eidolon dupreanum,7/27/18,lower left premolar,aged,MatsonsLab,no,NA,2,A,age inferred from multiple teeth
ANGB157,Eidolon dupreanum,6/5/19,lower left premolar,aged,MatsonsLab,no,NA,1,B,age inferred from multiple teeth
ANGB158,Eidolon dupreanum,9/9/18,lower left premolar,aged,MatsonsLab,no,NA,4,B,age inferred from multiple teeth
ANGB159,Eidolon dupreanum,6/5/19,lower left premolar,aged,MatsonsLab,no,NA,9,A,age inferred from multiple teeth
ANGB160,Eidolon dupreanum,4/9/18,lower left premolar,aged,MatsonsLab,no,NA,3,B,age inferred from multiple teeth
ANGB162,Eidolon dupreanum,6/5/19,lower left premolar,aged,MatsonsLab,no,NA,4,A,age inferred from multiple teeth
KEL185,Eidolon dupreanum,8/25/19,lower left premolar,aged,MatsonsLab,no,NA,3,A,age inferred from multiple teeth
KEL186,Eidolon dupreanum,8/8/19,lower left premolar,aged,MatsonsLab,no,NA,5,B,age inferred from multiple teeth
KEL187,Eidolon dupreanum,8/9/19,lower left premolar,aged,MatsonsLab,no,NA,6,B,age inferred from multiple teeth
KEL188,Eidolon dupreanum,4/24/19,lower left premolar,aged,MatsonsLab,no,NA,1,A,age inferred from multiple teeth
KEL198,Eidolon dupreanum,4/24/19,lower left premolar,aged,MatsonsLab,no,NA,1,A,age inferred from multiple teeth
KEL213,Eidolon dupreanum,7/27/18,lower left premolar,aged,MatsonsLab,no,NA,1,A,age inferred from multiple teeth
KEL214,Eidolon dupreanum,7/27/18,lower left premolar,aged,MatsonsLab,no,NA,7,B,age inferred from multiple teeth
KEL217,Eidolon dupreanum,7/27/18,lower left premolar,aged,MatsonsLab,no,NA,4,A,age inferred from multiple teeth
KEL218,Eidolon dupreanum,6/5/19,lower left premolar,aged,MatsonsLab,no,NA,1,A,age inferred from multiple teeth
KEL219,Eidolon dupreanum,9/9/18,lower left premolar,aged,MatsonsLab,no,NA,8,B,age inferred from multiple teeth
KEL222,Eidolon dupreanum,9/9/18,lower left premolar,aged,MatsonsLab,no,NA,8,A,age inferred from multiple teeth
KEL227,Eidolon dupreanum,9/9/18,lower left premolar,aged,MatsonsLab,no,NA,5,B,age inferred from multiple teeth
KEL252,Eidolon dupreanum,4/24/19,lower right canine,aged,MatsonsLab,no,NA,6,B,age inferred from multiple teeth
KEL253,Eidolon dupreanum,2/6/19,lower left canine,aged,MatsonsLab,no,NA,4,B,age inferred from multiple teeth
KEL254,Eidolon dupreanum,2/6/19,lower left canine,aged,MatsonsLab,no,NA,2,B,age inferred from multiple teeth
KEL255,Eidolon dupreanum,2/6/19,lower left canine,aged,MatsonsLab,no,NA,5,B,age inferred from multiple teeth
KEL259,Pteropus rufus,8/5/18,lower left canine,aged,MatsonsLab,no,NA,1,B,age inferred from multiple teeth
KEL260,Pteropus rufus,8/7/18,lower left canine,aged,MatsonsLab,no,NA,2,B,age inferred from multiple teeth
KEL261,Pteropus rufus,8/7/18,lower left canine,aged,MatsonsLab,no,NA,1,B,age inferred from multiple teeth
KEL262,Pteropus rufus,8/8/18,lower left canine,aged,MatsonsLab,no,NA,1,A,age inferred from multiple teeth
KEL263,Pteropus rufus,12/24/18,lower right canine,aged,MatsonsLab,no,NA,3,B,age inferred from multiple teeth
KEL264,Pteropus rufus,2/14/19,lower left canine,aged,MatsonsLab,no,NA,2,A,age inferred from multiple teeth
KEL265,Pteropus rufus,2/19/19,lower left canine,aged,MatsonsLab,no,NA,3,B,age inferred from multiple teeth
KEL270B,Eidolon dupreanum,3/14/19,lower right canine,aged,MatsonsLab,no,NA,1.5,A,age inferred from multiple teeth
KEL273B,Eidolon dupreanum,3/14/19,lower left premolar,aged,MatsonsLab,no,NA,2,A,age inferred from multiple teeth
KEL275B,Eidolon dupreanum,3/14/19,lower left premolar,aged,MatsonsLab,no,NA,3,B,age inferred from multiple teeth
KEL276B,Eidolon dupreanum,3/14/19,lower left premolar,aged,MatsonsLab,no,NA,2,B,age inferred from multiple teeth
KEL277B,Eidolon dupreanum,7/11/19,lower left premolar,aged,MatsonsLab,no,NA,5,B,age inferred from multiple teeth
KEL279B,Eidolon dupreanum,7/11/19,lower left premolar,aged,MatsonsLab,no,NA,1,B,age inferred from multiple teeth
KEL284B,Eidolon dupreanum,3/14/19,lower right canine,aged,MatsonsLab,no,NA,6,A,age inferred from multiple teeth
KEL290,Pteropus rufus,12/16/18,lower left premolar,aged,MatsonsLab,no,NA,1,B,age inferred from multiple teeth
KEL291,Pteropus rufus,12/17/18,lower left premolar,aged,MatsonsLab,no,NA,5,B,age inferred from multiple teeth
KEL295,Pteropus rufus,12/18/18,lower left premolar,aged,MatsonsLab,no,NA,2,B,age inferred from multiple teeth
KEL297,Pteropus rufus,12/18/18,lower left premolar,aged,MatsonsLab,no,NA,2,A,age inferred from multiple teeth
KEL298,Pteropus rufus,9/20/18,lower left premolar,aged,MatsonsLab,no,NA,1,B,age inferred from multiple teeth
KEL309,Pteropus rufus,4/22/18,lower left premolar,aged,MatsonsLab,no,NA,2,B,age inferred from multiple teeth
KEL312,Pteropus rufus,4/17/18,lower left premolar,aged,MatsonsLab,no,NA,3,A,age inferred from multiple teeth
KEL313,Pteropus rufus,8/7/18,upper right canine,aged,MatsonsLab,no,NA,1,A,age inferred from multiple teeth
KEL316,Pteropus rufus,8/6/18,lower left premolar,aged,MatsonsLab,no,NA,2,A,age inferred from multiple teeth
KEL317,Pteropus rufus,4/16/18,lower left premolar,aged,MatsonsLab,no,NA,1,B,age inferred from multiple teeth
KEL327,Pteropus rufus,12/20/18,lower right canine,aged,MatsonsLab,no,NA,3,B,age inferred from multiple teeth
KEL328,Pteropus rufus,8/7/18,upper right canine,aged,MatsonsLab,no,NA,1,B,age inferred from multiple teeth
KEL333,Pteropus rufus,2/18/19,lower left canine,aged,MatsonsLab,no,NA,5,B,age inferred from multiple teeth
KEL336,Eidolon dupreanum,4/10/18,lower left premolar,aged,MatsonsLab,no,NA,5,A,age inferred from multiple teeth
KEL337,Eidolon dupreanum,4/10/18,lower left premolar,aged,MatsonsLab,no,NA,4,B,age inferred from multiple teeth
KEL339,Eidolon dupreanum,9/9/18,lower left premolar,aged,MatsonsLab,no,NA,2,B,age inferred from multiple teeth
KEL340,Eidolon dupreanum,6/5/19,lower left premolar,aged,MatsonsLab,no,NA,6,A,age inferred from multiple teeth
KEL345,Eidolon dupreanum,8/25/19,lower left premolar,aged,MatsonsLab,no,NA,3,B,age inferred from multiple teeth
KEL348,Eidolon dupreanum,7/27/18,upper left canine,aged,MatsonsLab,no,NA,1,A,age inferred from multiple teeth
KEL349,Eidolon dupreanum,7/27/18,lower left premolar,aged,MatsonsLab,no,NA,3,A,age inferred from multiple teeth
KEL354,Eidolon dupreanum,7/27/18,lower left premolar,aged,MatsonsLab,no,NA,5,A,age inferred from multiple teeth
KEL361,Eidolon dupreanum,2/6/19,lower left premolar,aged,MatsonsLab,no,NA,4,B,age inferred from multiple teeth
KEL366,Eidolon dupreanum,4/24/19,lower right premolar,aged,MatsonsLab,no,NA,1,A,age inferred from multiple teeth
KEL367,Eidolon dupreanum,4/10/18,upper right canine,aged,MatsonsLab,no,NA,6,A,age inferred from multiple teeth
KEL368,Eidolon dupreanum,8/25/19,lower left premolar,aged,MatsonsLab,no,NA,8,A,age inferred from multiple teeth
KEL370,Pteropus rufus,12/13/18,upper left canine,aged,MatsonsLab,no,NA,4,A,age inferred from multiple teeth
MLB001,Eidolon dupreanum,4/24/19,lower left premolar,aged,MatsonsLab,no,NA,8,A,age inferred from multiple teeth
MLB004,Eidolon dupreanum,1/6/19,lower right premolar,aged,MatsonsLab,no,NA,8,A,age inferred from multiple teeth
MLB005,Eidolon dupreanum,4/24/19,lower right premolar,aged,MatsonsLab,no,NA,6,B,age inferred from multiple teeth
MLB006,Eidolon dupreanum,1/6/19,lower left premolar,aged,MatsonsLab,no,NA,1,B,age inferred from multiple teeth
MLB009,Eidolon dupreanum,1/6/19,lower left premolar,aged,MatsonsLab,no,NA,6,B,age inferred from multiple teeth
MNG001,Eidolon dupreanum,4/24/19,lower left premolar,aged,MatsonsLab,no,NA,2,B,age inferred from multiple teeth
MNG002,Eidolon dupreanum,1/6/19,lower left canine,aged,MatsonsLab,no,NA,4,B,age inferred from multiple teeth
TSI001,Eidolon dupreanum,4/24/19,lower left premolar,aged,MatsonsLab,no,NA,9,A,age inferred from multiple teeth
TSI003,Eidolon dupreanum,4/24/19,upper right canine,aged,MatsonsLab,no,NA,10,A,age inferred from multiple teeth
MARO3,Pteropus rufus,11/4/13,NA,aged,Cara Brook,no,NA,0.095890411,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MARO5,Pteropus rufus,11/4/13,NA,aged,Cara Brook,no,NA,0.095890411,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MARO8,Pteropus rufus,11/7/13,NA,aged,Cara Brook,no,NA,0.104109589,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MARO11,Pteropus rufus,11/8/13,NA,aged,Cara Brook,no,NA,0.106849315,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MARO13,Pteropus rufus,11/8/13,NA,aged,Cara Brook,no,NA,0.106849315,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AMB4,Pteropus rufus,11/15/13,NA,aged,Cara Brook,no,NA,0.126027397,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AMB5,Pteropus rufus,11/15/13,NA,aged,Cara Brook,no,NA,0.126027397,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AMB7,Pteropus rufus,11/15/13,NA,aged,Cara Brook,no,NA,0.126027397,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AMB10,Pteropus rufus,11/16/13,NA,aged,Cara Brook,no,NA,0.128767123,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AMB12,Pteropus rufus,11/16/13,NA,aged,Cara Brook,no,NA,0.128767123,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AMB14,Pteropus rufus,11/18/13,NA,aged,Cara Brook,no,NA,0.134246575,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AMB15,Pteropus rufus,11/18/13,NA,aged,Cara Brook,no,NA,0.134246575,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AMB18,Pteropus rufus,11/18/13,NA,aged,Cara Brook,no,NA,0.134246575,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ANGB12,Eidolon dupreanum,11/23/13,NA,aged,Cara Brook,no,NA,0.016438356,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ANGB13,Eidolon dupreanum,11/23/13,NA,aged,Cara Brook,no,NA,0.016438356,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ANGB15,Eidolon dupreanum,11/24/13,NA,aged,Cara Brook,no,NA,0.019178082,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ANGB17,Eidolon dupreanum,11/24/13,NA,aged,Cara Brook,no,NA,0.019178082,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ANGB19,Eidolon dupreanum,11/24/13,NA,aged,Cara Brook,no,NA,0.019178082,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ANGB20,Eidolon dupreanum,11/24/13,NA,aged,Cara Brook,no,NA,0.019178082,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ANGB22,Eidolon dupreanum,11/24/13,NA,aged,Cara Brook,no,NA,0.019178082,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ANGB24,Eidolon dupreanum,11/24/13,NA,aged,Cara Brook,no,NA,0.019178082,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ANGB26,Eidolon dupreanum,11/24/13,NA,aged,Cara Brook,no,NA,0.019178082,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ANGB28,Eidolon dupreanum,11/24/13,NA,aged,Cara Brook,no,NA,0.019178082,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ANGB30,Eidolon dupreanum,11/24/13,NA,aged,Cara Brook,no,NA,0.019178082,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL21,Eidolon dupreanum,11/26/13,NA,aged,Cara Brook,no,NA,0.024657534,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL23,Eidolon dupreanum,11/26/13,NA,aged,Cara Brook,no,NA,0.024657534,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL25,Eidolon dupreanum,11/26/13,NA,aged,Cara Brook,no,NA,0.024657534,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL27,Eidolon dupreanum,11/26/13,NA,aged,Cara Brook,no,NA,0.024657534,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MARO14,Pteropus rufus,2/19/14,NA,aged,Cara Brook,no,NA,0.389041096,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MAH3,Pteropus rufus,7/13/14,NA,aged,Cara Brook,no,NA,0.783561644,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MAH7,Pteropus rufus,7/13/14,NA,aged,Cara Brook,no,NA,0.783561644,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
EMA4,Eidolon dupreanum,7/14/14,NA,aged,Cara Brook,no,NA,0.654794521,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
EMA6,Eidolon dupreanum,7/14/14,NA,aged,Cara Brook,no,NA,0.654794521,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
EMA5,Eidolon dupreanum,7/14/14,NA,aged,Cara Brook,no,NA,0.654794521,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
EMA7,Eidolon dupreanum,7/14/14,NA,aged,Cara Brook,no,NA,0.654794521,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ROU10,Rousettus madagascariensis,8/1/14,NA,aged,Cara Brook,no,NA,0.632876712,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ROU11,Rousettus madagascariensis,8/1/14,NA,aged,Cara Brook,no,NA,0.632876712,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ROU13,Rousettus madagascariensis,8/1/14,NA,aged,Cara Brook,no,NA,0.632876712,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ROU14,Rousettus madagascariensis,8/1/14,NA,aged,Cara Brook,no,NA,0.632876712,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ROU15,Rousettus madagascariensis,8/1/14,NA,aged,Cara Brook,no,NA,0.632876712,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ROU16,Rousettus madagascariensis,8/1/14,NA,aged,Cara Brook,no,NA,0.632876712,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ROU3,Rousettus madagascariensis,8/1/14,NA,aged,Cara Brook,no,NA,0.632876712,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ROU4,Rousettus madagascariensis,8/1/14,NA,aged,Cara Brook,no,NA,0.632876712,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ROU5,Rousettus madagascariensis,8/1/14,NA,aged,Cara Brook,no,NA,0.632876712,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ROU6,Rousettus madagascariensis,8/1/14,NA,aged,Cara Brook,no,NA,0.632876712,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ROU7,Rousettus madagascariensis,8/1/14,NA,aged,Cara Brook,no,NA,0.632876712,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ROU8,Rousettus madagascariensis,8/1/14,NA,aged,Cara Brook,no,NA,0.632876712,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ROU9,Rousettus madagascariensis,8/1/14,NA,aged,Cara Brook,no,NA,0.632876712,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MARO42,Pteropus rufus,9/1/14,NA,aged,Cara Brook,no,NA,0.920547945,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MARO43,Pteropus rufus,9/1/14,NA,aged,Cara Brook,no,NA,0.920547945,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AND26,Eidolon dupreanum,10/14/14,NA,aged,Cara Brook,no,NA,0.906849315,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MAK2,Pteropus rufus,11/8/14,NA,aged,Cara Brook,no,NA,0.106849315,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MARO50,Pteropus rufus,11/29/14,NA,aged,Cara Brook,no,NA,0.164383562,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MARO51,Pteropus rufus,11/29/14,NA,aged,Cara Brook,no,NA,0.164383562,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MARO55,Pteropus rufus,11/30/14,NA,aged,Cara Brook,no,NA,0.167123288,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MARO57,Pteropus rufus,11/30/14,NA,aged,Cara Brook,no,NA,0.167123288,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MARO62,Pteropus rufus,12/2/14,NA,aged,Cara Brook,no,NA,0.17260274,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MARO61,Pteropus rufus,12/2/14,NA,aged,Cara Brook,no,NA,0.17260274,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MARO64,Pteropus rufus,12/3/14,NA,aged,Cara Brook,no,NA,0.175342466,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AMB41,Pteropus rufus,12/5/14,NA,aged,Cara Brook,no,NA,0.180821918,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AMB44,Pteropus rufus,12/6/14,NA,aged,Cara Brook,no,NA,0.183561644,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AMB49,Pteropus rufus,12/7/14,NA,aged,Cara Brook,no,NA,0.18630137,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AMB51,Pteropus rufus,12/7/14,NA,aged,Cara Brook,no,NA,0.18630137,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AMB53,Pteropus rufus,12/8/14,NA,aged,Cara Brook,no,NA,0.189041096,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AMB56,Pteropus rufus,12/8/14,NA,aged,Cara Brook,no,NA,0.189041096,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AMB58,Pteropus rufus,12/9/14,NA,aged,Cara Brook,no,NA,0.191780822,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AMB60,Pteropus rufus,12/9/14,NA,aged,Cara Brook,no,NA,0.191780822,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ43,Rousettus madagascariensis,12/12/14,NA,aged,Cara Brook,no,NA,0.997260274,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ48,Rousettus madagascariensis,12/13/14,NA,aged,Cara Brook,no,NA,1,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ57,Rousettus madagascariensis,12/13/14,NA,aged,Cara Brook,no,NA,1,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ANGB43,Eidolon dupreanum,12/14/14,NA,aged,Cara Brook,no,NA,0.073972603,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ANGB46,Eidolon dupreanum,12/14/14,NA,aged,Cara Brook,no,NA,0.073972603,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ANGB47,Eidolon dupreanum,12/14/14,NA,aged,Cara Brook,no,NA,0.073972603,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ANGB49,Eidolon dupreanum,12/14/14,NA,aged,Cara Brook,no,NA,0.073972603,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ANGB51,Eidolon dupreanum,12/14/14,NA,aged,Cara Brook,no,NA,0.073972603,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
